src_port,dst_port,protocol,bytes_sent,bytes_received,packets,duration,direction,failed_connections,distinct_destinations,connection_frequency,dns_query_volume,tls_version_score,uncommon_port_flag,internal_to_internal_flag,external_to_internal_flag,beaconing_score,hour_of_day,weekend_flag,label
26187,25,HTTP,38628,175621,302,16.650820977669692,internal_to_internal,1,3,8.425102076308551,13,0.8443638320019529,0,1,0,0.08852036966556927,8,0,normal
19810,587,HTTPS,14488,85400,389,14.437138634505716,external_to_internal,1,4,6.600943288452935,17,0.747352618501542,0,0,0,0.02233286067866487,16,0,normal
12974,587,TLS,11229,134539,25,14.266208553340388,internal_to_internal,0,4,5.235473871573137,6,0.9370906174476845,0,0,0,0.04378164453467477,9,1,normal
49231,25,HTTPS,25314,85157,409,29.785879702130483,internal_to_internal,0,2,9.919111421339734,10,0.996647369231179,0,1,0,0.04371233907395805,18,0,normal
17627,587,HTTPS,17597,65924,39,7.998627331153801,internal_to_external,2,9,3.7264826106917477,5,0.7241153415847867,0,0,0,0.018047218599868742,15,0,normal
8590,53,HTTP,3144,140163,385,1.8310894454482247,internal_to_internal,2,1,8.417292391486079,16,0.7946161833974756,0,0,0,0.013402791665240645,17,0,normal
61366,8080,TLS,36621,136645,376,17.98612134688038,internal_to_internal,1,6,6.203764662110362,12,0.9034231461346505,0,1,0,0.007266298609681355,10,0,normal
16743,587,UDP,6433,24809,79,15.943161708234351,internal_to_external,2,3,5.241052796290813,9,0.7339406099349207,0,1,0,0.0751864560022676,17,0,normal
1402,22,UDP,37011,46774,100,13.605427630568723,internal_to_external,0,1,0.5175052218717214,16,0.75421823677135,0,0,0,0.08500036700027787,15,0,normal
33634,3306,UDP,27857,66307,31,22.42804370829187,internal_to_external,1,3,5.993843700776173,11,0.9762860841054497,0,1,1,0.09770646968644978,17,0,normal
3042,22,HTTPS,25951,121635,241,22.216871087425833,internal_to_external,2,7,8.121087156537692,1,0.7404280371802257,0,0,1,0.08188292351273786,17,1,normal
54062,3306,HTTP,24111,190969,88,21.099985882612998,external_to_internal,0,2,7.451059855948924,1,0.7383562510570966,0,0,0,0.026532540968053908,10,0,normal
51455,80,HTTP,23599,366,236,5.842081463184968,internal_to_internal,2,3,1.4054607812208297,12,0.9247045049941992,0,0,1,0.02216738322696802,11,0,normal
60970,443,HTTPS,13540,95086,247,0.08949342810363027,internal_to_external,1,5,8.898400172311154,17,0.8750007254797687,0,0,0,0.039937726069362134,9,0,normal
31197,587,TCP,40140,183497,419,15.533475928439419,internal_to_internal,0,7,5.798973898217653,9,0.9832874056678451,0,0,0,0.01602989391539449,10,0,normal
21311,8080,UDP,25110,54207,64,19.292981986156427,internal_to_external,0,1,8.418679354016305,12,0.9216877904841497,1,0,0,0.06397651034827621,13,0,normal
23805,65521,HTTPS,199722072,943,9253,1485.4675299167209,internal_to_external,1,1,0.05635697453715091,26,0.5257302064491438,1,0,0,0.3888252567279494,1,1,anomalous
53887,8080,HTTP,13197,16598,313,15.549078812671636,internal_to_external,2,3,9.355205581205484,11,0.8352142760346604,0,0,1,0.08582422112061848,9,0,normal
27789,53,TLS,2199,97364,73,4.662913708629312,internal_to_internal,1,5,9.28445634213571,13,0.7998957670713057,0,1,0,0.04870322812835966,13,0,normal
37786,80,UDP,14511,98510,100,16.678088240015175,internal_to_internal,1,2,4.9040598272475275,13,0.7836523131063232,0,0,0,0.0057440014279247055,9,0,normal
46367,587,HTTP,24978,170986,159,25.179778268398323,external_to_internal,2,9,4.9230149288382865,6,0.9681097682208217,0,0,0,0.03802061102412044,15,0,normal
15083,53,TCP,24152,164527,495,17.009612909920957,internal_to_external,2,2,2.1608573944005283,16,0.8650885620743887,0,1,0,0.03501901384367689,12,0,normal
29797,80,HTTP,16077,44262,100,1.3700685774077102,internal_to_external,2,6,3.2814631786946395,17,0.9163156397957186,0,0,0,0.0013201140524626955,13,0,normal
32368,62955,HTTPS,32460813,522,8180,3469.5054257516804,internal_to_external,0,1,0.4523725936853684,29,0.6735852820033734,0,0,0,0.3346619431637251,0,0,anomalous
28847,22,HTTP,21537,144666,407,10.144348206891058,external_to_internal,1,7,5.13795666363302,14,0.8148745779443951,0,1,0,0.020783283082667848,13,0,normal
21302,53,TCP,38917,140647,259,10.4232216695008,internal_to_external,1,3,3.7554724375283155,3,0.7750475377160407,0,0,0,0.023655000671252726,10,0,normal
61301,62595,HTTPS,159081559,548,1819,1698.1232975005244,internal_to_external,4,2,1.002939474794021,5,0.7456851802856932,1,0,0,0.3238235618042087,1,1,anomalous
13615,3306,UDP,16780,140973,268,3.37494726448877,internal_to_internal,2,3,7.1430355190610895,13,0.7338688616139618,0,1,0,0.030178662726607432,15,0,normal
61415,25,HTTP,5336,78119,477,20.609841710714115,internal_to_internal,1,5,4.360929913937847,11,0.9129152767394407,0,1,0,0.05029401576370566,10,0,normal
14319,80,TLS,3525,78789,428,1.2537124307466085,internal_to_external,2,3,6.266357553012132,15,0.9790006706138676,0,1,0,0.07812084806462519,13,1,normal
