missing_hsts,missing_csp,missing_x_content_type_options,insecure_cookie_flags,weak_tls,deprecated_protocol_present,admin_interface_exposed,risky_management_port_exposed,open_port_count,legacy_service_count,dependency_vuln_count,secrets_detected,public_bucket_like_flag,authz_gap_indicator,excessive_cors_flag,debug_banner_present,default_credentials_risk,segmentation_risk_score,risk_score_raw,label
0,1,0,0,1,0,0,0,26,1,25,0,0,0,0,0,0,0.5545847870158348,0.3107485085716843,medium
0,0,0,1,0,0,0,1,23,3,14,1,0,0,0,0,0,0.3704597060348689,0.47659235761037033,medium
1,1,0,1,0,0,0,0,5,3,23,0,0,0,0,1,0,0.007362269751005512,0.37928141933029424,medium
0,0,0,0,0,1,1,0,41,6,14,0,0,0,0,0,0,0.030817834567939406,0.3661371656886714,medium
1,1,0,1,1,0,0,0,7,5,15,0,0,0,1,1,0,0.7223593505964503,0.5139764710728547,medium
1,1,1,0,0,0,0,0,39,6,10,1,0,0,0,0,0,0.9691763773477239,0.5254092005843974,medium
0,1,1,1,0,0,0,0,40,5,16,0,0,0,0,0,0,0.64984660155482,0.3104321602383745,medium
1,1,0,1,1,1,0,1,9,2,27,0,0,0,1,0,0,0.7827352272502862,0.5908918181722669,high
1,1,0,0,0,0,0,0,42,4,8,0,0,1,0,1,0,0.2812337838390083,0.40844096617631087,medium
0,0,1,0,1,1,0,0,2,3,24,0,0,0,0,0,0,0.9360435700489633,0.3613442673621189,medium
1,1,0,0,0,0,0,0,24,3,0,0,0,1,0,0,0,0.24097057500568475,0.2515534392416034,medium
0,1,1,0,0,1,0,0,38,3,29,0,0,1,0,1,0,0.12183250462853112,0.4203795935323458,medium
0,0,1,0,0,0,1,1,28,9,2,0,0,0,0,0,0,0.024859491386256316,0.4141752302102496,medium
0,1,1,0,0,0,0,0,20,4,14,0,1,1,0,0,0,0.5307695905990535,0.46306314931792536,medium
0,0,1,1,0,0,0,0,27,2,8,0,0,1,1,0,0,0.8246641904563413,0.4170066026289147,medium
1,0,1,1,1,1,1,1,12,1,5,1,0,0,0,0,0,0.8750049422346086,0.8451135580609894,critical
1,1,1,1,0,0,1,0,46,5,26,0,1,0,1,0,0,0.9795706805865927,0.6785682424742868,high
0,0,0,1,0,0,0,0,5,7,11,0,0,1,0,0,0,0.367511810115128,0.32604018979183497,medium
1,1,0,1,0,0,0,0,23,5,28,0,0,0,0,0,0,0.20240459312571835,0.3556721803319073,medium
0,1,0,1,0,1,0,1,42,9,28,0,0,0,0,0,0,0.5900758953583092,0.42671099138510493,medium
0,1,0,0,0,0,0,0,26,4,7,0,0,1,1,0,0,0.7743214161418432,0.41906885462220667,medium
1,0,0,1,0,0,1,1,30,0,28,0,0,0,0,0,0,0.47936956412454035,0.4359855124780459,medium
0,0,0,1,0,0,1,0,2,6,16,0,0,0,0,0,0,0.9184418955155542,0.411604755184396,medium
1,0,0,1,0,1,0,0,1,1,19,1,0,1,0,1,0,0.19820422721289788,0.5569201608901203,high
0,1,1,1,0,0,0,0,12,0,20,0,0,0,0,1,0,0.12492367930564308,0.2804469933637501,medium
0,0,0,1,0,1,0,0,40,5,29,0,1,0,1,0,0,0.17312784642250323,0.41302232829622004,medium
1,0,0,0,0,0,1,0,27,3,12,0,0,0,1,0,0,0.4741687294826181,0.3898552509783839,medium
1,1,1,0,0,0,0,0,29,8,6,0,0,1,0,0,0,0.5724579331221157,0.41237382469296135,medium
0,0,0,1,0,0,0,0,26,3,28,0,0,0,0,0,0,0.31445069174420126,0.3088942915740429,medium
1,1,1,0,1,0,0,1,26,7,9,0,1,0,0,0,0,0.6008404079450809,0.5500344882220959,high
1,0,0,0,0,0,0,0,46,6,10,0,0,0,1,0,0,0.5559694280284484,0.36838452733044724,medium
0,1,1,1,1,0,0,0,1,9,4,0,0,1,0,0,0,0.5864451730147959,0.41624461142625035,medium
1,1,0,0,0,0,0,1,36,3,22,0,0,0,0,0,0,0.9095522438713499,0.4414765735634061,medium
0,1,0,0,1,0,0,0,27,3,5,0,0,1,0,0,0,0.5984771915577366,0.36860962095392047,medium
1,0,0,0,0,0,0,0,26,7,8,0,0,1,0,0,0,0.6541024094823568,0.4093097044291455,medium
0,1,0,0,0,1,1,0,48,9,14,0,0,0,0,0,0,0.5554617101377639,0.4746429155095936,medium
0,0,1,1,1,1,0,0,33,7,0,0,0,1,0,0,0,0.0045001249396591225,0.3918229442068077,medium
0,1,1,0,0,1,0,0,43,7,25,0,0,0,0,0,0,0.0848115912357631,0.3109776211534271,medium
0,0,0,1,0,1,0,0,42,7,22,0,0,0,1,0,1,0.20197903768878156,0.4279252011150937,medium
1,0,1,0,0,0,0,0,30,3,26,0,0,0,0,0,0,0.6534392090094951,0.3022134658722422,medium
1,1,1,0,1,0,0,0,32,4,25,0,0,0,0,0,0,0.5621707337375722,0.3751630744304603,medium
0,0,0,0,1,0,1,1,24,0,7,1,0,0,0,1,0,0.3845043779899281,0.5368131953218479,medium
0,1,1,1,0,1,1,0,8,0,3,0,0,0,0,0,0,0.32249044096772983,0.40004752058025167,medium
1,0,1,1,0,1,0,0,25,1,4,1,0,0,1,0,1,0.11062946756220327,0.6608652860678059,high
1,0,0,0,1,0,0,1,44,7,29,0,0,0,0,0,0,0.8131593458201128,0.446892659448455,medium
0,0,1,0,0,1,1,0,42,3,0,0,0,0,0,0,0,0.5938305480284476,0.33010907801693845,medium
1,0,1,0,0,1,1,0,29,5,11,0,0,0,0,0,1,0.5945676088908644,0.5670409280315455,high
0,0,1,0,1,0,0,0,7,1,16,0,0,0,0,0,0,0.4192723879008051,0.33500009622061755,medium
1,0,0,0,1,0,0,0,23,1,10,0,0,0,0,0,0,0.7334949045628298,0.41651616574610656,medium
1,1,0,0,0,0,1,0,48,6,25,0,0,0,0,1,0,0.3771446803556807,0.46210282779753686,medium
0,1,1,0,0,0,0,0,25,4,2,0,0,1,1,0,0,0.9548983918558076,0.407418212550992,medium
1,0,0,1,1,1,0,0,10,4,7,1,0,0,0,0,0,0.25243629054958727,0.5396722982014213,medium
0,0,0,0,0,0,1,1,47,3,6,1,0,0,0,0,0,0.16031202498225805,0.5580182777780605,high
0,0,1,1,0,0,0,1,28,6,28,0,0,1,0,0,0,0.4135679313099698,0.43807136449921025,medium
1,0,0,0,0,0,0,1,15,1,1,0,0,0,0,0,0,0.43456308469769034,0.29127386339835526,medium
1,0,0,0,1,0,0,0,47,8,0,0,0,0,0,0,0,0.5318860913460681,0.2612747817692196,medium
0,0,0,0,1,0,0,1,46,3,1,0,0,0,0,0,0,0.6390136492641646,0.32468530253314076,medium
0,1,1,0,1,1,0,0,39,1,27,0,0,0,0,0,0,0.9500610946244371,0.45027625184545056,medium
1,0,0,1,0,0,0,0,23,5,22,0,0,0,0,0,0,0.7197825350215462,0.3484760179768591,medium
0,1,0,1,0,0,1,1,33,3,20,0,0,1,0,0,0,0.8606304013961301,0.5635184698343052,high
0,1,1,1,1,0,0,1,48,5,16,0,0,0,0,0,0,0.39967613516363687,0.5005168628891924,medium
1,1,0,0,0,0,0,0,35,8,16,0,0,0,0,0,0,0.843322885761979,0.39528627393741445,medium
0,0,0,0,0,1,0,0,15,2,13,0,0,0,0,0,1,0.3361299685293737,0.43664148105042516,medium
0,1,0,1,0,0,1,1,29,0,12,0,0,0,1,1,0,0.27063215227086046,0.5301354781323049,medium
0,1,0,1,0,0,0,0,40,6,0,0,0,1,0,0,0,0.4612088858375738,0.29937440334855153,medium
1,0,1,0,0,0,0,0,49,2,22,0,0,0,1,0,0,0.1535255220546139,0.3256660430917651,medium
1,1,1,0,0,1,0,0,17,1,0,0,0,0,0,1,0,0.7377975561063729,0.35476900042090626,medium
0,1,0,0,0,1,0,0,8,9,3,1,0,0,0,0,0,0.13721125779061238,0.44633088319261327,medium
1,1,0,0,0,1,0,0,47,2,7,0,0,0,0,1,1,0.6015584524560157,0.5267438837587088,medium
1,1,0,0,0,0,0,0,37,1,9,0,0,1,1,0,0,0.6462907632285592,0.398899296251987,medium
0,1,0,0,1,1,0,1,15,6,0,1,0,0,1,1,0,0.32039720359730783,0.5817076449396101,high
1,1,1,0,1,0,0,1,11,7,3,0,0,1,0,0,0,0.5260605268860209,0.601752563302797,high
1,1,1,0,0,0,1,0,16,4,15,0,0,0,0,1,0,0.19320832244513053,0.4057850137063155,medium
0,0,1,0,0,0,0,0,25,7,11,0,0,0,0,0,0,0.3207155466940761,0.24023032431178937,low
1,1,1,0,0,1,0,0,27,2,15,0,0,0,1,0,0,0.9239004005454299,0.4818097845186587,medium
1,1,0,0,1,0,0,0,41,2,13,1,0,0,0,0,0,0.2703417881993275,0.4576861743144381,medium
0,1,0,0,0,0,1,0,48,8,17,0,0,0,0,0,0,0.4249793856661014,0.3609967876380079,medium
1,1,0,0,1,0,0,1,19,9,15,0,0,0,0,0,0,0.04009500987277592,0.4293803205082731,medium
0,1,1,1,0,1,0,0,12,8,12,1,0,0,0,0,0,0.03589888600735891,0.4863319860095162,medium
0,0,1,0,0,0,1,0,48,7,25,0,1,0,1,0,0,0.5674481135493233,0.4951191792312283,medium
1,1,0,1,1,0,0,1,34,8,3,0,0,0,0,1,0,0.5456756940810478,0.5480036150344699,medium
0,0,0,0,0,0,0,0,35,1,2,1,0,0,0,0,1,0.15752334131747947,0.41985051327336576,medium
0,1,0,0,0,1,1,1,46,0,4,0,0,0,0,0,0,0.6177889085055832,0.5058367955997192,medium
0,1,1,1,0,0,0,0,10,1,16,0,0,0,0,0,0,0.7219067795126763,0.3246398465222856,medium
0,1,1,0,0,0,0,0,5,4,15,0,1,0,0,0,1,0.9813871012530017,0.5354114760015074,medium
0,1,1,0,0,0,0,0,24,1,25,0,0,0,0,0,0,0.4250817675141312,0.32521883751983643,medium
0,0,0,1,0,1,1,0,6,7,6,0,0,0,1,0,0,0.5293913540262875,0.5306338649255108,medium
0,0,1,1,0,1,0,0,44,3,3,0,0,1,0,0,0,0.8150730962187541,0.450029911014561,medium
0,1,1,1,0,0,0,0,9,3,5,0,0,0,0,0,0,0.9300033473547173,0.37419345306726615,medium
0,0,0,0,0,0,0,0,14,7,2,1,0,0,0,0,0,0.836613041032693,0.35446142027550837,medium
1,0,0,0,0,0,0,0,37,2,24,0,0,0,0,0,0,0.05794534453812994,0.2995649798639762,medium
1,0,0,1,1,0,0,0,30,7,4,0,0,0,0,0,0,0.4299570499000478,0.38764812331624043,medium
1,0,0,1,0,1,1,0,18,9,26,0,0,0,1,0,0,0.37154320840636157,0.48860709872007285,medium
1,1,0,0,0,0,0,0,2,6,12,0,0,0,0,1,0,0.20056247132155403,0.2545825249859729,medium
1,1,0,0,0,0,0,0,14,1,0,0,0,0,0,1,0,0.63925034035617,0.31943055464566605,medium
1,0,0,0,1,1,0,0,47,0,18,0,0,0,0,0,0,0.8766781387517029,0.3928800141073921,medium
0,0,0,1,1,1,0,0,25,5,25,0,0,0,0,0,0,0.18853023387416024,0.42460564456820377,medium
0,0,0,0,0,0,0,0,20,2,2,0,0,0,0,0,0,0.8835298364237075,0.2574810893468248,medium
0,1,0,0,0,1,0,0,16,5,18,1,0,0,1,0,0,0.05088073454501463,0.48904103386806486,medium
1,0,0,0,1,0,0,1,25,7,6,1,0,0,0,0,0,0.47613382109041036,0.5530439297995849,high
0,1,0,0,0,0,1,0,9,9,20,0,0,0,1,1,1,0.9898230692048735,0.5565916138732973,high
1,0,0,0,0,0,0,0,46,9,21,0,0,0,1,0,0,0.15353154633704746,0.27691774788528645,medium
0,1,0,0,1,0,0,1,23,6,19,0,0,0,0,0,0,0.6235463696427459,0.4033916887931721,medium
0,0,0,1,0,0,1,1,45,3,13,0,0,0,0,0,0,0.49919422542222336,0.4819074769717419,medium
0,1,0,0,0,1,0,0,26,9,10,0,0,0,1,0,0,0.0005681292589444498,0.33324001644076373,medium
